,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2019-09-20,1.0209,2.1367,0.80%,限制大额申购,开放赎回,
1,2019-09-19,1.0128,2.1286,0.15%,限制大额申购,开放赎回,
2,2019-09-18,1.0113,2.1271,3.30%,限制大额申购,开放赎回,
3,2019-09-17,0.9790,2.0948,0.19%,限制大额申购,开放赎回,
4,2019-09-16,0.9771,2.0929,-0.65%,限制大额申购,开放赎回,
5,2019-09-12,0.9835,2.0993,1.63%,限制大额申购,开放赎回,
6,2019-09-11,0.9677,2.0835,-4.43%,限制大额申购,开放赎回,
7,2019-09-10,1.0126,2.1284,-0.47%,限制大额申购,开放赎回,
8,2019-09-09,1.0174,2.1332,-0.05%,限制大额申购,开放赎回,
9,2019-09-06,1.0179,2.1337,0.07%,限制大额申购,开放赎回,
10,2019-09-05,1.0172,2.1330,0.42%,限制大额申购,开放赎回,
11,2019-09-04,1.0129,2.1287,-1.39%,限制大额申购,开放赎回,
12,2019-09-03,1.0272,2.1430,-0.62%,限制大额申购,开放赎回,
13,2019-09-02,1.0336,2.1494,0.36%,限制大额申购,开放赎回,
14,2019-08-30,1.0299,2.1457,2.38%,限制大额申购,开放赎回,
15,2019-08-29,1.0060,2.1218,1.05%,限制大额申购,开放赎回,
16,2019-08-28,0.9955,2.1113,0.40%,限制大额申购,开放赎回,
17,2019-08-27,0.9915,2.1073,2.15%,限制大额申购,开放赎回,
18,2019-08-26,0.9706,2.0864,-1.89%,限制大额申购,开放赎回,
19,2019-08-23,0.9893,2.1051,0.27%,限制大额申购,开放赎回,
20,2019-08-22,0.9866,2.1024,2.12%,限制大额申购,开放赎回,
21,2019-08-21,0.9661,2.0819,-0.79%,限制大额申购,开放赎回,
22,2019-08-20,0.9738,2.0896,1.15%,限制大额申购,开放赎回,
23,2019-08-19,0.9627,2.0785,1.24%,限制大额申购,开放赎回,
24,2019-08-16,0.9509,2.0667,0.97%,限制大额申购,开放赎回,
25,2019-08-15,0.9418,2.0576,-0.30%,限制大额申购,开放赎回,
26,2019-08-14,0.9446,2.0604,2.53%,限制大额申购,开放赎回,
27,2019-08-13,0.9213,2.0371,-0.31%,限制大额申购,开放赎回,
28,2019-08-12,0.9242,2.0400,2.88%,限制大额申购,开放赎回,
29,2019-08-09,0.8983,2.0141,-1.49%,限制大额申购,开放赎回,
30,2019-08-08,0.9119,2.0277,1.67%,限制大额申购,开放赎回,
31,2019-08-07,0.8969,2.0127,-1.02%,限制大额申购,开放赎回,
32,2019-08-06,0.9061,2.0219,1.56%,限制大额申购,开放赎回,
33,2019-08-05,0.8922,2.0080,-2.14%,限制大额申购,开放赎回,
34,2019-08-02,0.9117,2.0275,-0.69%,限制大额申购,开放赎回,
35,2019-08-01,0.9180,2.0338,-1.42%,限制大额申购,开放赎回,
36,2019-07-31,0.9312,2.0470,-1.56%,限制大额申购,开放赎回,
37,2019-07-30,0.9460,2.0618,-0.46%,限制大额申购,开放赎回,
38,2019-07-29,0.9504,2.0662,0.88%,限制大额申购,开放赎回,
39,2019-07-26,0.9421,2.0579,-0.04%,限制大额申购,开放赎回,
40,2019-07-25,0.9425,2.0583,1.09%,限制大额申购,开放赎回,
41,2019-07-24,0.9323,2.0481,-0.19%,限制大额申购,开放赎回,
42,2019-07-23,0.9341,2.0499,-2.17%,限制大额申购,开放赎回,
43,2019-07-22,0.9548,2.0706,0.07%,限制大额申购,开放赎回,
44,2019-07-19,0.9541,2.0699,0.72%,限制大额申购,开放赎回,
45,2019-07-18,0.9473,2.0631,-1.39%,限制大额申购,开放赎回,
46,2019-07-17,0.9607,2.0765,-0.56%,限制大额申购,开放赎回,
47,2019-07-16,0.9661,2.0819,-1.15%,限制大额申购,开放赎回,
48,2019-07-15,0.9773,2.0931,-0.98%,限制大额申购,开放赎回,
49,2019-07-12,0.9870,2.1028,1.37%,限制大额申购,开放赎回,
50,2019-07-11,0.9737,2.0895,-0.80%,限制大额申购,开放赎回,
51,2019-07-10,0.9816,2.0974,0.57%,限制大额申购,开放赎回,
52,2019-07-09,0.9760,2.0918,0.42%,限制大额申购,开放赎回,
53,2019-07-08,0.9719,2.0877,-1.58%,限制大额申购,开放赎回,
54,2019-07-05,0.9875,2.1033,2.73%,限制大额申购,开放赎回,
55,2019-07-04,0.9613,2.0771,-1.75%,限制大额申购,开放赎回,
56,2019-07-03,0.9784,2.0942,-2.16%,暂停申购,暂停赎回,
57,2019-07-02,1.0000,2.1158,0.78%,暂停申购,暂停赎回,每份基金份额折算1.5568621300000001份
58,2019-07-01,1.5448,2.1037,4.81%,限制大额申购,开放赎回,
59,2019-06-30,1.4738,2.0327,,限制大额申购,开放赎回,
60,2019-06-28,1.4739,2.0328,0.35%,限制大额申购,开放赎回,
61,2019-06-27,1.4687,2.0276,3.55%,限制大额申购,开放赎回,
62,2019-06-26,1.4184,1.9773,-0.51%,限制大额申购,开放赎回,
63,2019-06-25,1.4257,1.9846,0.02%,限制大额申购,开放赎回,
64,2019-06-24,1.4254,1.9843,1.67%,限制大额申购,开放赎回,
65,2019-06-21,1.4020,1.9609,0.94%,限制大额申购,开放赎回,
66,2019-06-20,1.3889,1.9478,4.50%,限制大额申购,开放赎回,
67,2019-06-19,1.3291,1.8880,1.43%,限制大额申购,开放赎回,
68,2019-06-18,1.3104,1.8693,0.02%,限制大额申购,开放赎回,
69,2019-06-17,1.3101,1.8690,-0.55%,限制大额申购,开放赎回,
70,2019-06-14,1.3174,1.8763,-0.91%,限制大额申购,开放赎回,
71,2019-06-13,1.3295,1.8884,-0.44%,限制大额申购,开放赎回,
72,2019-06-12,1.3354,1.8943,-1.10%,限制大额申购,开放赎回,
73,2019-06-11,1.3503,1.9092,5.44%,限制大额申购,开放赎回,
74,2019-06-10,1.2806,1.8395,1.85%,限制大额申购,开放赎回,
75,2019-06-06,1.2574,1.8163,-1.07%,限制大额申购,开放赎回,
76,2019-06-05,1.2710,1.8299,-0.07%,限制大额申购,开放赎回,
77,2019-06-04,1.2719,1.8308,-2.40%,限制大额申购,开放赎回,
78,2019-06-03,1.3032,1.8621,-0.55%,限制大额申购,开放赎回,
79,2019-05-31,1.3104,1.8693,-1.36%,限制大额申购,开放赎回,
80,2019-05-30,1.3285,1.8874,-1.06%,限制大额申购,开放赎回,
81,2019-05-29,1.3428,1.9017,0.64%,限制大额申购,开放赎回,
82,2019-05-28,1.3342,1.8931,1.08%,限制大额申购,开放赎回,
83,2019-05-27,1.3200,1.8789,0.44%,限制大额申购,开放赎回,
84,2019-05-24,1.3142,1.8731,1.40%,限制大额申购,开放赎回,
85,2019-05-23,1.2961,1.8550,-3.41%,限制大额申购,开放赎回,
86,2019-05-22,1.3419,1.9008,-0.94%,限制大额申购,开放赎回,
87,2019-05-21,1.3547,1.9136,0.98%,限制大额申购,开放赎回,
88,2019-05-20,1.3415,1.9004,-2.44%,限制大额申购,开放赎回,
89,2019-05-17,1.3750,1.9339,-2.89%,限制大额申购,开放赎回,
90,2019-05-16,1.4159,1.9748,1.39%,限制大额申购,开放赎回,
91,2019-05-15,1.3965,1.9554,6.29%,限制大额申购,开放赎回,
92,2019-05-14,1.3139,1.8728,-0.88%,限制大额申购,开放赎回,
93,2019-05-13,1.3255,1.8844,0.27%,限制大额申购,开放赎回,
94,2019-05-10,1.3219,1.8808,5.17%,限制大额申购,开放赎回,
95,2019-05-09,1.2569,1.8158,-3.54%,限制大额申购,开放赎回,
96,2019-05-08,1.3030,1.8619,-0.03%,限制大额申购,开放赎回,
97,2019-05-07,1.3034,1.8623,2.20%,限制大额申购,开放赎回,
98,2019-05-06,1.2753,1.8342,-8.24%,限制大额申购,开放赎回,
99,2019-04-30,1.3898,1.9487,0.60%,限制大额申购,开放赎回,
100,2019-04-29,1.3815,1.9404,0.70%,限制大额申购,开放赎回,
101,2019-04-26,1.3719,1.9308,1.33%,限制大额申购,开放赎回,
102,2019-04-25,1.3539,1.9128,-1.97%,限制大额申购,开放赎回,
103,2019-04-24,1.3811,1.9400,-0.63%,限制大额申购,开放赎回,
104,2019-04-23,1.3898,1.9487,1.86%,限制大额申购,开放赎回,
105,2019-04-22,1.3644,1.9233,-0.81%,限制大额申购,开放赎回,
106,2019-04-19,1.3755,1.9344,-0.18%,限制大额申购,开放赎回,
107,2019-04-18,1.3780,1.9369,1.09%,限制大额申购,开放赎回,
108,2019-04-17,1.3631,1.9220,1.05%,限制大额申购,开放赎回,
109,2019-04-16,1.3489,1.9078,1.85%,限制大额申购,开放赎回,
110,2019-04-15,1.3244,1.8833,-1.03%,限制大额申购,开放赎回,
111,2019-04-12,1.3382,1.8971,0.06%,限制大额申购,开放赎回,
112,2019-04-11,1.3374,1.8963,-4.79%,限制大额申购,开放赎回,
113,2019-04-10,1.4047,1.9636,1.31%,限制大额申购,开放赎回,
114,2019-04-09,1.3866,1.9455,1.65%,限制大额申购,开放赎回,
115,2019-04-08,1.3641,1.9230,0.42%,限制大额申购,开放赎回,
116,2019-04-04,1.3584,1.9173,2.56%,限制大额申购,开放赎回,
117,2019-04-03,1.3245,1.8834,-0.67%,限制大额申购,开放赎回,
118,2019-04-02,1.3335,1.8924,-1.31%,限制大额申购,开放赎回,
119,2019-04-01,1.3512,1.9101,1.39%,限制大额申购,开放赎回,
120,2019-03-29,1.3327,1.8916,4.97%,限制大额申购,开放赎回,
121,2019-03-28,1.2696,1.8285,1.51%,限制大额申购,开放赎回,
122,2019-03-27,1.2507,1.8096,2.96%,限制大额申购,开放赎回,
123,2019-03-26,1.2148,1.7737,0.50%,限制大额申购,开放赎回,
124,2019-03-25,1.2088,1.7677,-2.73%,限制大额申购,开放赎回,
125,2019-03-22,1.2427,1.8016,1.22%,限制大额申购,开放赎回,
126,2019-03-21,1.2277,1.7866,-0.82%,限制大额申购,开放赎回,
127,2019-03-20,1.2378,1.7967,0.44%,限制大额申购,开放赎回,
128,2019-03-19,1.2324,1.7913,-1.04%,限制大额申购,开放赎回,
129,2019-03-18,1.2453,1.8042,7.89%,限制大额申购,开放赎回,
130,2019-03-15,1.1542,1.7131,3.22%,限制大额申购,开放赎回,
131,2019-03-14,1.1182,1.6771,1.18%,限制大额申购,开放赎回,
132,2019-03-13,1.1052,1.6641,0.28%,限制大额申购,开放赎回,
133,2019-03-12,1.1021,1.6610,-0.81%,限制大额申购,开放赎回,
134,2019-03-11,1.1111,1.6700,3.84%,限制大额申购,开放赎回,
135,2019-03-08,1.0700,1.6289,-2.75%,限制大额申购,开放赎回,
136,2019-03-07,1.1002,1.6591,-2.68%,限制大额申购,开放赎回,
137,2019-03-06,1.1305,1.6894,-0.91%,限制大额申购,开放赎回,
138,2019-03-05,1.1409,1.6998,0.18%,限制大额申购,开放赎回,
139,2019-03-04,1.1388,1.6977,1.27%,限制大额申购,开放赎回,
140,2019-03-01,1.1245,1.6834,4.01%,限制大额申购,开放赎回,
141,2019-02-28,1.0811,1.6400,0.93%,限制大额申购,开放赎回,
142,2019-02-27,1.0711,1.6300,2.04%,限制大额申购,开放赎回,
143,2019-02-26,1.0497,1.6086,-2.12%,限制大额申购,开放赎回,
144,2019-02-25,1.0724,1.6313,3.39%,开放申购,开放赎回,
145,2019-02-22,1.0372,1.5961,0.80%,开放申购,开放赎回,
146,2019-02-21,1.0290,1.5879,-1.06%,开放申购,开放赎回,
147,2019-02-20,1.0400,1.5989,-0.50%,开放申购,开放赎回,
148,2019-02-19,1.0452,1.6041,-0.55%,开放申购,开放赎回,
149,2019-02-18,1.0510,1.6099,3.92%,开放申购,开放赎回,
150,2019-02-15,1.0114,1.5703,-2.10%,开放申购,开放赎回,
151,2019-02-14,1.0331,1.5920,2.58%,开放申购,开放赎回,
152,2019-02-13,1.0071,1.5660,1.18%,开放申购,开放赎回,
153,2019-02-12,0.9954,1.5543,0.30%,开放申购,开放赎回,
154,2019-02-11,0.9924,1.5513,4.43%,开放申购,开放赎回,
155,2019-02-01,0.9503,1.5092,1.45%,开放申购,开放赎回,
156,2019-01-31,0.9367,1.4956,1.56%,开放申购,开放赎回,
157,2019-01-30,0.9223,1.4812,-2.05%,开放申购,开放赎回,
158,2019-01-29,0.9416,1.5005,0.58%,开放申购,开放赎回,
159,2019-01-28,0.9362,1.4951,1.34%,开放申购,开放赎回,
160,2019-01-25,0.9238,1.4827,0.08%,开放申购,开放赎回,
161,2019-01-24,0.9231,1.4820,0.85%,开放申购,开放赎回,
162,2019-01-23,0.9153,1.4742,0.31%,开放申购,开放赎回,
163,2019-01-22,0.9125,1.4714,-1.72%,开放申购,开放赎回,
164,2019-01-21,0.9285,1.4874,1.41%,开放申购,开放赎回,
165,2019-01-18,0.9156,1.4745,2.47%,开放申购,开放赎回,
166,2019-01-17,0.8935,1.4524,-0.27%,开放申购,开放赎回,
167,2019-01-16,0.8959,1.4548,-1.14%,开放申购,开放赎回,
168,2019-01-15,0.9062,1.4651,6.52%,开放申购,开放赎回,
169,2019-01-14,0.8507,1.4096,-1.30%,开放申购,开放赎回,
170,2019-01-11,0.8619,1.4208,1.93%,开放申购,开放赎回,
171,2019-01-10,0.8456,1.4045,-0.55%,开放申购,开放赎回,
172,2019-01-09,0.8503,1.4092,1.84%,开放申购,开放赎回,
173,2019-01-08,0.8349,1.3938,0.13%,开放申购,开放赎回,
174,2019-01-07,0.8338,1.3927,0.37%,开放申购,开放赎回,
175,2019-01-04,0.8307,1.3896,2.27%,开放申购,开放赎回,
176,2019-01-03,0.8123,1.3712,-2.65%,开放申购,开放赎回,
177,2019-01-02,0.8344,1.3933,-1.66%,开放申购,开放赎回,
178,2018-12-31,0.8484,1.4073,,开放申购,开放赎回,
179,2018-12-28,0.8485,1.4074,1.63%,开放申购,开放赎回,
180,2018-12-27,0.8349,1.3938,-0.38%,开放申购,开放赎回,
181,2018-12-26,0.8381,1.3970,-1.53%,开放申购,开放赎回,
182,2018-12-25,0.8511,1.4100,-0.25%,开放申购,开放赎回,
183,2018-12-24,0.8532,1.4121,0.72%,开放申购,开放赎回,
184,2018-12-21,0.8471,1.4060,-1.67%,开放申购,开放赎回,
185,2018-12-20,0.8615,1.4204,-1.00%,开放申购,开放赎回,
186,2018-12-19,0.8702,1.4291,-1.61%,开放申购,开放赎回,
187,2018-12-18,0.8844,1.4433,-0.43%,暂停申购,暂停赎回,
188,2018-12-17,0.8882,1.4471,-0.75%,暂停申购,暂停赎回,每份基金份额折算1.0254704750000001份
189,2018-12-14,0.9177,1.4540,-1.57%,开放申购,开放赎回,
190,2018-12-13,0.9323,1.4686,1.87%,开放申购,开放赎回,
191,2018-12-12,0.9152,1.4515,0.60%,开放申购,开放赎回,
192,2018-12-11,0.9097,1.4460,0.78%,开放申购,开放赎回,
193,2018-12-10,0.9027,1.4390,-1.45%,开放申购,开放赎回,
194,2018-12-07,0.9160,1.4523,0.28%,开放申购,开放赎回,
195,2018-12-06,0.9134,1.4497,-2.85%,开放申购,开放赎回,
196,2018-12-05,0.9402,1.4765,0.75%,开放申购,开放赎回,
197,2018-12-04,0.9332,1.4695,-0.04%,开放申购,开放赎回,
198,2018-12-03,0.9336,1.4699,4.86%,开放申购,开放赎回,
199,2018-11-30,0.8903,1.4266,3.03%,开放申购,开放赎回,
200,2018-11-29,0.8641,1.4004,0.31%,开放申购,开放赎回,
201,2018-11-28,0.8614,1.3977,1.58%,开放申购,开放赎回,
202,2018-11-27,0.8480,1.3843,-0.43%,开放申购,开放赎回,
203,2018-11-26,0.8517,1.3880,-0.43%,开放申购,开放赎回,
204,2018-11-23,0.8554,1.3917,-2.32%,开放申购,开放赎回,
205,2018-11-22,0.8757,1.4120,-0.02%,开放申购,开放赎回,
206,2018-11-21,0.8759,1.4122,1.05%,开放申购,开放赎回,
207,2018-11-20,0.8668,1.4031,-2.38%,开放申购,开放赎回,
208,2018-11-19,0.8879,1.4242,2.09%,开放申购,开放赎回,
209,2018-11-16,0.8697,1.4060,-0.01%,开放申购,开放赎回,
210,2018-11-15,0.8698,1.4061,0.76%,开放申购,开放赎回,
211,2018-11-14,0.8632,1.3995,-2.02%,开放申购,开放赎回,
212,2018-11-13,0.8810,1.4173,3.25%,开放申购,开放赎回,
213,2018-11-12,0.8533,1.3896,-0.37%,开放申购,开放赎回,
214,2018-11-09,0.8565,1.3928,-0.73%,开放申购,开放赎回,
215,2018-11-08,0.8628,1.3991,0.07%,开放申购,开放赎回,
216,2018-11-07,0.8622,1.3985,-0.01%,开放申购,开放赎回,
217,2018-11-06,0.8623,1.3986,-1.49%,开放申购,开放赎回,
218,2018-11-05,0.8753,1.4116,-2.78%,开放申购,开放赎回,
219,2018-11-02,0.9003,1.4366,5.78%,开放申购,开放赎回,
220,2018-11-01,0.8511,1.3874,2.54%,开放申购,开放赎回,
221,2018-10-31,0.8300,1.3663,3.72%,开放申购,开放赎回,
222,2018-10-30,0.8002,1.3365,-1.74%,开放申购,开放赎回,
223,2018-10-29,0.8144,1.3507,-8.90%,开放申购,开放赎回,
224,2018-10-26,0.8940,1.4303,-2.60%,开放申购,开放赎回,
225,2018-10-25,0.9179,1.4542,-2.20%,开放申购,开放赎回,
226,2018-10-24,0.9385,1.4748,-2.77%,开放申购,开放赎回,
