,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-02-21,1.2615,1.2615,3.78%,开放申购,开放赎回,
1,2025-02-20,1.2155,1.2155,0.73%,开放申购,开放赎回,
2,2025-02-19,1.2067,1.2067,1.98%,开放申购,开放赎回,
3,2025-02-18,1.1833,1.1833,-2.26%,开放申购,开放赎回,
4,2025-02-17,1.2107,1.2107,2.41%,开放申购,开放赎回,
5,2025-02-14,1.1822,1.1822,0.68%,开放申购,开放赎回,
6,2025-02-13,1.1742,1.1742,-2.94%,开放申购,开放赎回,
7,2025-02-12,1.2098,1.2098,2.32%,开放申购,开放赎回,
8,2025-02-11,1.1824,1.1824,-0.05%,开放申购,开放赎回,
9,2025-02-10,1.1830,1.1830,0.40%,开放申购,开放赎回,
10,2025-02-07,1.1783,1.1783,1.96%,开放申购,开放赎回,
11,2025-02-06,1.1556,1.1556,3.49%,开放申购,开放赎回,
12,2025-02-05,1.1166,1.1166,-1.82%,开放申购,开放赎回,
13,2025-01-27,1.1373,1.1373,-4.58%,开放申购,开放赎回,
14,2025-01-24,1.1919,1.1919,2.41%,开放申购,开放赎回,
15,2025-01-23,1.1638,1.1638,-1.91%,开放申购,开放赎回,
16,2025-01-22,1.1865,1.1865,2.03%,开放申购,开放赎回,
17,2025-01-21,1.1629,1.1629,2.41%,开放申购,开放赎回,
18,2025-01-20,1.1355,1.1355,1.59%,开放申购,开放赎回,
19,2025-01-17,1.1177,1.1177,1.13%,开放申购,开放赎回,
20,2025-01-16,1.1052,1.1052,1.26%,开放申购,开放赎回,
21,2025-01-15,1.0915,1.0915,-1.48%,开放申购,开放赎回,
22,2025-01-14,1.1079,1.1079,4.68%,开放申购,开放赎回,
23,2025-01-13,1.0584,1.0584,-0.56%,开放申购,开放赎回,
24,2025-01-10,1.0644,1.0644,-2.82%,开放申购,开放赎回,
25,2025-01-09,1.0953,1.0953,1.21%,开放申购,开放赎回,
26,2025-01-08,1.0822,1.0822,-0.93%,开放申购,开放赎回,
27,2025-01-07,1.0924,1.0924,3.20%,开放申购,开放赎回,
28,2025-01-06,1.0585,1.0585,-0.43%,开放申购,开放赎回,
29,2025-01-03,1.0631,1.0631,-2.14%,开放申购,开放赎回,
30,2025-01-02,1.0864,1.0864,-3.55%,开放申购,开放赎回,
31,2024-12-31,1.1264,1.1264,-3.35%,开放申购,开放赎回,
32,2024-12-30,1.1655,1.1655,-0.55%,开放申购,开放赎回,
33,2024-12-27,1.1719,1.1719,-1.73%,开放申购,开放赎回,
34,2024-12-26,1.1925,1.1925,4.18%,开放申购,开放赎回,
35,2024-12-25,1.1447,1.1447,0.15%,开放申购,开放赎回,
36,2024-12-24,1.1430,1.1430,0.93%,开放申购,开放赎回,
37,2024-12-23,1.1325,1.1325,-1.83%,开放申购,开放赎回,
38,2024-12-20,1.1536,1.1536,0.16%,开放申购,开放赎回,
39,2024-12-19,1.1517,1.1517,3.53%,开放申购,开放赎回,
40,2024-12-18,1.1124,1.1124,1.01%,开放申购,开放赎回,
