,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-07-07,1.1154,1.1154,0.49%,开放申购,开放赎回,
1,2025-07-04,1.1100,1.1100,0.89%,开放申购,开放赎回,
2,2025-07-03,1.1002,1.1002,0.02%,开放申购,开放赎回,
3,2025-07-02,1.1000,1.1000,0.21%,开放申购,开放赎回,
4,2025-07-01,1.0977,1.0977,0.97%,开放申购,开放赎回,
5,2025-06-30,1.0872,1.0872,-0.17%,开放申购,开放赎回,
6,2025-06-27,1.0891,1.0891,-1.45%,开放申购,开放赎回,
7,2025-06-26,1.1051,1.1051,0.43%,开放申购,开放赎回,
8,2025-06-25,1.1004,1.1004,0.73%,开放申购,开放赎回,
9,2025-06-24,1.0924,1.0924,0.23%,开放申购,开放赎回,
10,2025-06-23,1.0899,1.0899,0.57%,开放申购,开放赎回,
11,2025-06-20,1.0837,1.0837,0.48%,开放申购,开放赎回,
12,2025-06-19,1.0785,1.0785,-0.26%,开放申购,开放赎回,
13,2025-06-18,1.0813,1.0813,0.56%,开放申购,开放赎回,
14,2025-06-17,1.0753,1.0753,-0.23%,开放申购,开放赎回,
15,2025-06-16,1.0778,1.0778,0.53%,开放申购,开放赎回,
16,2025-06-13,1.0721,1.0721,-0.67%,开放申购,开放赎回,
17,2025-06-12,1.0793,1.0793,0.35%,开放申购,开放赎回,
18,2025-06-11,1.0755,1.0755,0.17%,开放申购,开放赎回,
19,2025-06-10,1.0737,1.0737,0.16%,开放申购,开放赎回,
20,2025-06-09,1.0720,1.0720,0.03%,开放申购,开放赎回,
21,2025-06-06,1.0717,1.0717,0.22%,开放申购,开放赎回,
22,2025-06-05,1.0694,1.0694,-0.71%,开放申购,开放赎回,
23,2025-06-04,1.0770,1.0770,0.44%,开放申购,开放赎回,
24,2025-06-03,1.0723,1.0723,0.97%,开放申购,开放赎回,
25,2025-05-30,1.0620,1.0620,0.32%,开放申购,开放赎回,
26,2025-05-29,1.0586,1.0586,-0.09%,开放申购,开放赎回,
27,2025-05-28,1.0596,1.0596,0.46%,开放申购,开放赎回,
28,2025-05-27,1.0548,1.0548,0.19%,开放申购,开放赎回,
29,2025-05-26,1.0528,1.0528,-0.38%,开放申购,开放赎回,
30,2025-05-23,1.0568,1.0568,-0.74%,开放申购,开放赎回,
31,2025-05-22,1.0647,1.0647,0.42%,开放申购,开放赎回,
32,2025-05-21,1.0602,1.0602,0.60%,开放申购,开放赎回,
