,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-07-08,2.2132,2.2132,2.26,开放申购,开放赎回,
1,2025-07-07,2.1642,2.1642,-1.15,开放申购,开放赎回,
2,2025-07-04,2.1894,2.1894,-0.34,开放申购,开放赎回,
3,2025-07-03,2.1968,2.1968,1.8,开放申购,开放赎回,
4,2025-07-02,2.1579,2.1579,-1.07,开放申购,开放赎回,
5,2025-07-01,2.1812,2.1812,-0.22,开放申购,开放赎回,
6,2025-06-30,2.1861,2.1861,1.28,开放申购,开放赎回,
7,2025-06-27,2.1584,2.1584,0.45,开放申购,开放赎回,
8,2025-06-26,2.1488,2.1488,-0.62,开放申购,开放赎回,
9,2025-06-25,2.1623,2.1623,2.96,开放申购,开放赎回,
10,2025-06-24,2.1001,2.1001,2.19,开放申购,开放赎回,
11,2025-06-23,2.055,2.055,0.36,开放申购,开放赎回,
12,2025-06-20,2.0476,2.0476,-0.78,开放申购,开放赎回,
13,2025-06-19,2.0637,2.0637,-1.28,开放申购,开放赎回,
14,2025-06-18,2.0904,2.0904,0.24,开放申购,开放赎回,
15,2025-06-17,2.0853,2.0853,-0.33,开放申购,开放赎回,
16,2025-06-16,2.0923,2.0923,0.62,开放申购,开放赎回,
17,2025-06-13,2.0795,2.0795,-1.02,开放申购,开放赎回,
18,2025-06-12,2.1009,2.1009,0.26,开放申购,开放赎回,
19,2025-06-11,2.0955,2.0955,1.16,开放申购,开放赎回,
20,2025-06-10,2.0715,2.0715,-1.1,开放申购,开放赎回,
21,2025-06-09,2.0945,2.0945,1.02,开放申购,开放赎回,
22,2025-06-06,2.0733,2.0733,-0.4,开放申购,开放赎回,
23,2025-06-05,2.0817,2.0817,1.11,开放申购,开放赎回,
24,2025-06-04,2.0589,2.0589,1.07,开放申购,开放赎回,
25,2025-06-03,2.0371,2.0371,0.44,开放申购,开放赎回,
26,2025-05-30,2.0281,2.0281,-0.88,开放申购,开放赎回,
27,2025-05-29,2.0461,2.0461,1.34,开放申购,开放赎回,
28,2025-05-28,2.019,2.019,-0.26,开放申购,开放赎回,
29,2025-05-27,2.0243,2.0243,-0.63,开放申购,开放赎回,
30,2025-05-26,2.0372,2.0372,-0.71,开放申购,开放赎回,
31,2025-05-23,2.0518,2.0518,-1.09,开放申购,开放赎回,
32,2025-05-22,2.0745,2.0745,-0.9,开放申购,开放赎回,
33,2025-05-21,2.0934,2.0934,0.79,开放申购,开放赎回,
34,2025-05-20,2.077,2.077,0.73,开放申购,开放赎回,
35,2025-05-19,2.0619,2.0619,-0.29,开放申购,开放赎回,
36,2025-05-16,2.068,2.068,-0.18,开放申购,开放赎回,
37,2025-05-15,2.0717,2.0717,-1.82,开放申购,开放赎回,
38,2025-05-14,2.11,2.11,0.96,开放申购,开放赎回,
39,2025-05-13,2.09,2.09,-0.11,开放申购,开放赎回,
40,2025-05-12,2.0923,2.0923,2.49,开放申购,开放赎回,
41,2025-05-09,2.0415,2.0415,-0.83,开放申购,开放赎回,
42,2025-05-08,2.0585,2.0585,1.56,开放申购,开放赎回,
43,2025-05-07,2.0268,2.0268,0.48,开放申购,开放赎回,
44,2025-05-06,2.0171,2.0171,1.86,开放申购,开放赎回,
45,2025-04-30,1.9803,1.9803,0.81,开放申购,开放赎回,
46,2025-04-29,1.9643,1.9643,-0.12,开放申购,开放赎回,
47,2025-04-28,1.9666,1.9666,-0.63,开放申购,开放赎回,
48,2025-04-25,1.979,1.979,0.55,开放申购,开放赎回,
49,2025-04-24,1.9681,1.9681,-0.65,开放申购,开放赎回,
50,2025-04-23,1.981,1.981,1.02,开放申购,开放赎回,
51,2025-04-22,1.961,1.961,-0.4,开放申购,开放赎回,
