,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-07-08,0.85,0.85,-0.35,开放申购,开放赎回,
1,2025-07-07,0.853,0.853,,开放申购,开放赎回,
2,2025-07-03,0.852,0.852,-0.35,开放申购,开放赎回,
3,2025-07-02,0.855,0.855,,开放申购,开放赎回,
4,2025-06-30,0.844,0.844,0.6,开放申购,开放赎回,
5,2025-06-27,0.839,0.839,-0.94,开放申购,开放赎回,
6,2025-06-26,0.847,0.847,-0.12,开放申购,开放赎回,
7,2025-06-25,0.848,0.848,0.12,开放申购,开放赎回,
8,2025-06-24,0.847,0.847,-1.85,开放申购,开放赎回,
9,2025-06-23,0.863,0.863,-0.23,开放申购,开放赎回,
10,2025-06-20,0.865,0.865,,开放申购,开放赎回,
11,2025-06-18,0.864,0.864,-0.35,开放申购,开放赎回,
12,2025-06-17,0.867,0.867,0.93,开放申购,开放赎回,
13,2025-06-16,0.859,0.859,-1.26,开放申购,开放赎回,
14,2025-06-13,0.87,0.87,1.87,开放申购,开放赎回,
15,2025-06-12,0.854,0.854,0.95,开放申购,开放赎回,
16,2025-06-11,0.846,0.846,0.59,开放申购,开放赎回,
17,2025-06-10,0.841,0.841,0.12,开放申购,开放赎回,
18,2025-06-09,0.84,0.84,0.48,开放申购,开放赎回,
19,2025-06-06,0.836,0.836,-0.59,开放申购,开放赎回,
20,2025-06-05,0.841,0.841,-0.12,开放申购,开放赎回,
21,2025-06-04,0.842,0.842,0.24,开放申购,开放赎回,
22,2025-06-03,0.84,0.84,2.19,开放申购,开放赎回,
23,2025-05-30,0.822,0.822,-0.84,开放申购,开放赎回,
24,2025-05-29,0.829,0.829,0.12,开放申购,开放赎回,
25,2025-05-28,0.828,0.828,0.12,开放申购,开放赎回,
26,2025-05-27,0.827,0.827,,开放申购,开放赎回,
27,2025-05-23,0.839,0.839,1.57,开放申购,开放赎回,
28,2025-05-22,0.826,0.826,-0.84,开放申购,开放赎回,
29,2025-05-21,0.833,0.833,0.48,开放申购,开放赎回,
30,2025-05-20,0.829,0.829,1.22,开放申购,开放赎回,
31,2025-05-19,0.819,0.819,0.86,开放申购,开放赎回,
32,2025-05-16,0.812,0.812,-0.73,开放申购,开放赎回,
33,2025-05-15,0.818,0.818,0.62,开放申购,开放赎回,
34,2025-05-14,0.813,0.813,-1.57,开放申购,开放赎回,
35,2025-05-13,0.826,0.826,0.61,开放申购,开放赎回,
36,2025-05-12,0.821,0.821,-1.56,开放申购,开放赎回,
37,2025-05-09,0.834,0.834,0.72,开放申购,开放赎回,
38,2025-05-08,0.828,0.828,-0.84,开放申购,开放赎回,
39,2025-05-07,0.835,0.835,-1.3,开放申购,开放赎回,
40,2025-05-06,0.846,0.846,2.67,开放申购,开放赎回,
41,2025-04-30,0.824,0.824,-0.96,开放申购,开放赎回,
42,2025-04-29,0.832,0.832,-0.95,开放申购,开放赎回,
43,2025-04-28,0.84,0.84,0.6,开放申购,开放赎回,
44,2025-04-25,0.835,0.835,-0.6,开放申购,开放赎回,
45,2025-04-24,0.84,0.84,1.08,开放申购,开放赎回,
46,2025-04-23,0.831,0.831,-1.89,开放申购,开放赎回,
47,2025-04-22,0.847,0.847,,开放申购,开放赎回,
48,2025-04-17,0.839,0.839,0.24,开放申购,开放赎回,
49,2025-04-16,0.837,0.837,2.57,开放申购,开放赎回,
50,2025-04-15,0.816,0.816,0.25,开放申购,开放赎回,
51,2025-04-14,0.814,0.814,0.0,开放申购,开放赎回,
52,2025-04-11,0.814,0.814,0.99,开放申购,开放赎回,
53,2025-04-10,0.806,0.806,0.88,开放申购,开放赎回,
54,2025-04-09,0.799,0.799,0.63,开放申购,开放赎回,
55,2025-04-08,0.794,0.794,-0.63,开放申购,开放赎回,
56,2025-04-07,0.799,0.799,-2.92,开放申购,开放赎回,
57,2025-04-03,0.823,0.823,-1.79,开放申购,开放赎回,
58,2025-04-02,0.838,0.838,0.12,开放申购,开放赎回,
59,2025-04-01,0.837,0.837,0.12,开放申购,开放赎回,
