end_day,alpha,beta,gamma,season,rss
-550,0.05,0.01,0.2,7,0.0
-600,0.05,0.01,0.2,7,0.0
-500,0.003986854048064372,0.5,0.28832733160579954,7,0.016423222176987294
-450,0.007324769026200264,0.5,0.1242825247048792,13,0.03205480318607157
-50,0.13763848423909708,0.025508725273251487,0.07442459930956485,23,0.3933173468916529
-350,0.005587809653866757,0.5,0.19213181647160432,8,0.06331166333403475
-300,0.00557066239808169,0.49490048151515587,0.19527336872795015,8,0.07398741081520746
-250,0.0065479116514866875,0.5,0.2810406215554497,7,0.11579487087801796
-150,0.11791041627462706,0.018892253397324255,0.04584553775649176,23,0.2307672168852313
-100,0.12378032208050012,0.017264862273420382,0.07835803054531128,23,0.2714154638313333
-400,0.0062267524646834665,0.5,0.2377087435155966,8,0.03582818570726474
-200,0.004950755606779811,0.5,0.046913910805836845,11,0.17391694829151533
-1,0.14099504119455775,0.01050908718785456,0.08403098605964968,23,0.5062317388170307
