净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,0.7932,0.7932,1.32%,限制大额申购,开放赎回,
2025-07-07,0.7829,0.7829,-0.61%,限制大额申购,开放赎回,
2025-07-04,0.7877,0.7877,-0.01%,限制大额申购,开放赎回,
2025-07-03,0.7878,0.7878,0.20%,限制大额申购,开放赎回,
2025-07-02,0.7862,0.7862,-1.13%,限制大额申购,开放赎回,
2025-07-01,0.7952,0.7952,-0.80%,限制大额申购,开放赎回,
2025-06-30,0.8016,0.8016,1.43%,限制大额申购,开放赎回,
2025-06-27,0.7903,0.7903,-0.15%,限制大额申购,开放赎回,
2025-06-26,0.7915,0.7915,-0.54%,限制大额申购,开放赎回,
2025-06-25,0.7958,0.7958,1.63%,限制大额申购,开放赎回,
2025-06-24,0.7830,0.7830,1.71%,限制大额申购,开放赎回,
2025-06-23,0.7698,0.7698,0.43%,限制大额申购,开放赎回,
2025-06-20,0.7665,0.7665,-0.51%,限制大额申购,开放赎回,
2025-06-19,0.7704,0.7704,-0.53%,限制大额申购,开放赎回,
2025-06-18,0.7745,0.7745,0.51%,限制大额申购,开放赎回,
2025-06-17,0.7706,0.7706,-0.76%,限制大额申购,开放赎回,
2025-06-16,0.7765,0.7765,-0.19%,限制大额申购,开放赎回,
2025-06-13,0.7780,0.7780,-0.40%,限制大额申购,开放赎回,
2025-06-12,0.7811,0.7811,-0.32%,限制大额申购,开放赎回,
2025-06-11,0.7836,0.7836,-0.19%,限制大额申购,开放赎回,
2025-06-10,0.7851,0.7851,-1.75%,限制大额申购,开放赎回,
2025-06-09,0.7991,0.7991,0.63%,限制大额申购,开放赎回,
2025-06-06,0.7941,0.7941,-0.43%,限制大额申购,开放赎回,
2025-06-05,0.7975,0.7975,1.33%,限制大额申购,开放赎回,
2025-06-04,0.7870,0.7870,0.42%,限制大额申购,开放赎回,
2025-06-03,0.7837,0.7837,0.42%,限制大额申购,开放赎回,
2025-05-30,0.7804,0.7804,-0.83%,限制大额申购,开放赎回,
2025-05-29,0.7869,0.7869,1.52%,限制大额申购,开放赎回,
2025-05-28,0.7751,0.7751,-0.23%,限制大额申购,开放赎回,
2025-05-27,0.7769,0.7769,-0.91%,限制大额申购,开放赎回,
2025-05-26,0.7840,0.7840,0.17%,限制大额申购,开放赎回,
2025-05-23,0.7827,0.7827,-0.97%,限制大额申购,开放赎回,
2025-05-22,0.7904,0.7904,-0.47%,限制大额申购,开放赎回,
2025-05-21,0.7941,0.7941,-0.23%,限制大额申购,开放赎回,
2025-05-20,0.7959,0.7959,0.23%,限制大额申购,开放赎回,
2025-05-19,0.7941,0.7941,0.04%,限制大额申购,开放赎回,
2025-05-16,0.7938,0.7938,-0.54%,限制大额申购,开放赎回,
2025-05-15,0.7981,0.7981,-1.20%,限制大额申购,开放赎回,
2025-05-14,0.8078,0.8078,0.39%,限制大额申购,开放赎回,
2025-05-13,0.8047,0.8047,-0.16%,限制大额申购,开放赎回,
2025-05-12,0.8060,0.8060,0.46%,限制大额申购,开放赎回,
2025-05-09,0.8023,0.8023,-1.84%,限制大额申购,开放赎回,
2025-05-08,0.8173,0.8173,-0.33%,限制大额申购,开放赎回,
2025-05-07,0.8200,0.8200,0.33%,限制大额申购,开放赎回,
2025-05-06,0.8173,0.8173,1.30%,限制大额申购,开放赎回,
2025-04-30,0.8068,0.8068,0.81%,限制大额申购,开放赎回,
2025-04-29,0.8003,0.8003,0.11%,限制大额申购,开放赎回,
2025-04-28,0.7994,0.7994,-0.15%,限制大额申购,开放赎回,
2025-04-25,0.8006,0.8006,0.11%,限制大额申购,开放赎回,
2025-04-24,0.7997,0.7997,-0.87%,限制大额申购,开放赎回,
2025-04-23,0.8067,0.8067,-0.33%,限制大额申购,开放赎回,
2025-04-22,0.8094,0.8094,-0.30%,限制大额申购,开放赎回,
2025-04-21,0.8118,0.8118,1.03%,限制大额申购,开放赎回,
2025-04-18,0.8035,0.8035,-0.77%,限制大额申购,开放赎回,
2025-04-17,0.8097,0.8097,0.22%,限制大额申购,开放赎回,
2025-04-16,0.8079,0.8079,0.75%,限制大额申购,开放赎回,
2025-04-15,0.8019,0.8019,-0.75%,限制大额申购,开放赎回,
2025-04-14,0.8080,0.8080,0.24%,限制大额申购,开放赎回,
2025-04-11,0.8061,0.8061,1.96%,限制大额申购,开放赎回,
2025-04-10,0.7906,0.7906,1.02%,限制大额申购,开放赎回,
2025-04-09,0.7826,0.7826,4.06%,限制大额申购,开放赎回,
2025-04-08,0.7521,0.7521,1.59%,限制大额申购,开放赎回,
2025-04-07,0.7403,0.7403,-8.72%,限制大额申购,开放赎回,
2025-04-03,0.8110,0.8110,-0.44%,限制大额申购,开放赎回,
2025-04-02,0.8146,0.8146,-0.15%,限制大额申购,开放赎回,
2025-04-01,0.8158,0.8158,0.16%,限制大额申购,开放赎回,
2025-03-31,0.8145,0.8145,-0.61%,限制大额申购,开放赎回,
2025-03-28,0.8195,0.8195,-1.03%,限制大额申购,开放赎回,
2025-03-27,0.8280,0.8280,1.01%,限制大额申购,开放赎回,
2025-03-26,0.8197,0.8197,-0.24%,限制大额申购,开放赎回,
2025-03-25,0.8217,0.8217,-1.32%,限制大额申购,开放赎回,
2025-03-24,0.8327,0.8327,0.29%,限制大额申购,开放赎回,
2025-03-21,0.8303,0.8303,-1.99%,限制大额申购,开放赎回,
2025-03-20,0.8472,0.8472,-1.06%,限制大额申购,开放赎回,
2025-03-19,0.8563,0.8563,-1.19%,限制大额申购,开放赎回,
2025-03-18,0.8666,0.8666,0.51%,限制大额申购,开放赎回,
2025-03-17,0.8622,0.8622,-0.42%,限制大额申购,开放赎回,
2025-03-14,0.8658,0.8658,1.63%,限制大额申购,开放赎回,
2025-03-13,0.8519,0.8519,-2.00%,限制大额申购,开放赎回,
2025-03-12,0.8693,0.8693,-0.71%,限制大额申购,开放赎回,
2025-03-11,0.8755,0.8755,-0.38%,限制大额申购,开放赎回,
2025-03-10,0.8788,0.8788,-0.18%,限制大额申购,开放赎回,
2025-03-07,0.8804,0.8804,-1.21%,限制大额申购,开放赎回,
2025-03-06,0.8912,0.8912,3.30%,限制大额申购,开放赎回,
2025-03-05,0.8627,0.8627,0.33%,限制大额申购,开放赎回,
2025-03-04,0.8599,0.8599,1.61%,限制大额申购,开放赎回,
2025-03-03,0.8463,0.8463,-1.41%,限制大额申购,开放赎回,
2025-02-28,0.8584,0.8584,-4.06%,限制大额申购,开放赎回,
2025-02-27,0.8947,0.8947,-0.09%,限制大额申购,开放赎回,
2025-02-26,0.8955,0.8955,2.02%,限制大额申购,开放赎回,
2025-02-25,0.8778,0.8778,0.13%,限制大额申购,开放赎回,
2025-02-24,0.8767,0.8767,0.42%,限制大额申购,开放赎回,
2025-02-21,0.8730,0.8730,5.59%,限制大额申购,开放赎回,
2025-02-20,0.8268,0.8268,-0.14%,限制大额申购,开放赎回,
2025-02-19,0.8280,0.8280,2.27%,限制大额申购,开放赎回,
2025-02-18,0.8096,0.8096,-2.33%,限制大额申购,开放赎回,
2025-02-17,0.8289,0.8289,1.33%,限制大额申购,开放赎回,
2025-02-14,0.8180,0.8180,0.43%,限制大额申购,开放赎回,
2025-02-13,0.8145,0.8145,-2.20%,限制大额申购,开放赎回,
2025-02-12,0.8328,0.8328,1.60%,限制大额申购,开放赎回,
