end_day,alpha,beta,gamma,season,rss
-600,0.12203538770118903,0.009184721933223623,0.08341577118134831,21,0.04801950428922769
-580,0.11752350949555794,0.009462790235014944,0.09034994546434062,21,0.049632289629209694
-560,0.1128315947418625,0.008675257071197914,0.10034196541896781,21,0.05196874028539809
-540,0.11175872831524832,0.008552816214957144,0.11161723262390714,21,0.05406749172883851
-520,0.11218592693995307,0.008292727724551368,0.10846842657324977,21,0.0560191357710585
-500,0.1094273185509684,0.008488552107377303,0.1071155086587655,21,0.05732537590040801
-480,0.10922602537112715,0.008679515178928723,0.1072054221628574,21,0.058805996585085486
-460,0.10701785429455653,0.008576651012224878,0.11357235087695505,21,0.060419857918943456
-440,0.1167602202564166,0.009540559082673995,0.19969460360130176,16,0.06202165023386311
-420,0.11691762929219524,0.00941429176039117,0.19965362416269808,16,0.06236042078583017
-400,0.11593172316546078,0.00954853883770688,0.20083415384467132,16,0.06344751137353945
-380,0.11540833479046031,0.009468354742479416,0.19679606261365637,16,0.06384413822339122
-360,0.10656563773586457,0.008684026769787573,0.12182294363960856,21,0.06504958387378763
-340,0.10422818185287377,0.008831643638184863,0.13003503824040685,21,0.07028281721319793
-320,0.10327076498811269,0.00885329867173085,0.1267233048238951,21,0.07106293268108496
-300,0.10727346890373649,0.008966186522388514,0.12589835019522203,21,0.07247917093446515
-280,0.10857745675116152,0.009073610807277458,0.12199895869470799,21,0.07458859765580993
-260,0.10737917260647672,0.008824968024835534,0.12003662328223695,21,0.0752379640471931
-240,0.10842200860694523,0.008687599142334362,0.1209022766054412,21,0.07557325904386983
-220,0.1107627500939486,0.00854765270012541,0.12102177719130729,21,0.07655813978166237
-200,0.11052801021823558,0.008545107962991527,0.11912460001347902,21,0.07699779156413976
-180,0.12009974565020827,0.009260878065062315,0.19021100639588578,16,0.08982695985337955
-160,0.1258603353927949,0.009385182874029301,0.19962045489441826,16,0.0918759906138957
-140,0.12269380196098273,0.009264704837001994,0.190375582914816,16,0.09342804620208896
-120,0.12367110833240788,0.009010026864797148,0.1864683819604846,16,0.09474727844255253
-100,0.12133061927477481,0.009145698923398211,0.18327343793747491,16,0.09572349480377065
-80,0.12150777303729465,0.00916723991556989,0.18450364463624655,16,0.09589423684291754
-60,0.12069533898058403,0.008988586005622266,0.18136737778793516,16,0.09898558245134792
-40,0.11842829044572706,0.009058105485543916,0.18092450232738255,16,0.09956665010121407
-20,0.11872080344422355,0.009054911220435898,0.17863183649222591,16,0.09983754644845588
-1,0.11903252409466987,0.009048195059058578,0.17649813667552458,16,0.10003696285352365
