净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2025-07-08,0.8500,0.8500,-0.35%,开放申购,开放赎回,
2025-07-07,0.8530,0.8530,,开放申购,开放赎回,
2025-07-03,0.8520,0.8520,-0.35%,开放申购,开放赎回,
2025-07-02,0.8550,0.8550,,开放申购,开放赎回,
2025-06-30,0.8440,0.8440,0.60%,开放申购,开放赎回,
2025-06-27,0.8390,0.8390,-0.94%,开放申购,开放赎回,
2025-06-26,0.8470,0.8470,-0.12%,开放申购,开放赎回,
2025-06-25,0.8480,0.8480,0.12%,开放申购,开放赎回,
2025-06-24,0.8470,0.8470,-1.85%,开放申购,开放赎回,
2025-06-23,0.8630,0.8630,-0.23%,开放申购,开放赎回,
2025-06-20,0.8650,0.8650,,开放申购,开放赎回,
2025-06-18,0.8640,0.8640,-0.35%,开放申购,开放赎回,
2025-06-17,0.8670,0.8670,0.93%,开放申购,开放赎回,
2025-06-16,0.8590,0.8590,-1.26%,开放申购,开放赎回,
2025-06-13,0.8700,0.8700,1.87%,开放申购,开放赎回,
2025-06-12,0.8540,0.8540,0.95%,开放申购,开放赎回,
2025-06-11,0.8460,0.8460,0.59%,开放申购,开放赎回,
2025-06-10,0.8410,0.8410,0.12%,开放申购,开放赎回,
2025-06-09,0.8400,0.8400,0.48%,开放申购,开放赎回,
2025-06-06,0.8360,0.8360,-0.59%,开放申购,开放赎回,
2025-06-05,0.8410,0.8410,-0.12%,开放申购,开放赎回,
2025-06-04,0.8420,0.8420,0.24%,开放申购,开放赎回,
2025-06-03,0.8400,0.8400,2.19%,开放申购,开放赎回,
2025-05-30,0.8220,0.8220,-0.84%,开放申购,开放赎回,
2025-05-29,0.8290,0.8290,0.12%,开放申购,开放赎回,
2025-05-28,0.8280,0.8280,0.12%,开放申购,开放赎回,
2025-05-27,0.8270,0.8270,,开放申购,开放赎回,
2025-05-23,0.8390,0.8390,1.57%,开放申购,开放赎回,
2025-05-22,0.8260,0.8260,-0.84%,开放申购,开放赎回,
2025-05-21,0.8330,0.8330,0.48%,开放申购,开放赎回,
2025-05-20,0.8290,0.8290,1.22%,开放申购,开放赎回,
2025-05-19,0.8190,0.8190,0.86%,开放申购,开放赎回,
2025-05-16,0.8120,0.8120,-0.73%,开放申购,开放赎回,
2025-05-15,0.8180,0.8180,0.62%,开放申购,开放赎回,
2025-05-14,0.8130,0.8130,-1.57%,开放申购,开放赎回,
2025-05-13,0.8260,0.8260,0.61%,开放申购,开放赎回,
2025-05-12,0.8210,0.8210,-1.56%,开放申购,开放赎回,
2025-05-09,0.8340,0.8340,0.72%,开放申购,开放赎回,
2025-05-08,0.8280,0.8280,-0.84%,开放申购,开放赎回,
2025-05-07,0.8350,0.8350,-1.30%,开放申购,开放赎回,
2025-05-06,0.8460,0.8460,2.67%,开放申购,开放赎回,
2025-04-30,0.8240,0.8240,-0.96%,开放申购,开放赎回,
2025-04-29,0.8320,0.8320,-0.95%,开放申购,开放赎回,
2025-04-28,0.8400,0.8400,0.60%,开放申购,开放赎回,
2025-04-25,0.8350,0.8350,-0.60%,开放申购,开放赎回,
2025-04-24,0.8400,0.8400,1.08%,开放申购,开放赎回,
2025-04-23,0.8310,0.8310,-1.89%,开放申购,开放赎回,
2025-04-22,0.8470,0.8470,,开放申购,开放赎回,
2025-04-17,0.8390,0.8390,0.24%,开放申购,开放赎回,
2025-04-16,0.8370,0.8370,2.57%,开放申购,开放赎回,
2025-04-15,0.8160,0.8160,0.25%,开放申购,开放赎回,
2025-04-14,0.8140,0.8140,0.00%,开放申购,开放赎回,
2025-04-11,0.8140,0.8140,0.99%,开放申购,开放赎回,
2025-04-10,0.8060,0.8060,0.88%,开放申购,开放赎回,
2025-04-09,0.7990,0.7990,0.63%,开放申购,开放赎回,
2025-04-08,0.7940,0.7940,-0.63%,开放申购,开放赎回,
2025-04-07,0.7990,0.7990,-2.92%,开放申购,开放赎回,
2025-04-03,0.8230,0.8230,-1.79%,开放申购,开放赎回,
2025-04-02,0.8380,0.8380,0.12%,开放申购,开放赎回,
2025-04-01,0.8370,0.8370,0.12%,开放申购,开放赎回,
2025-03-31,0.8360,0.8360,1.58%,开放申购,开放赎回,
2025-03-28,0.8230,0.8230,0.00%,开放申购,开放赎回,
2025-03-27,0.8230,0.8230,0.73%,开放申购,开放赎回,
2025-03-26,0.8170,0.8170,0.25%,开放申购,开放赎回,
2025-03-25,0.8150,0.8150,0.12%,开放申购,开放赎回,
2025-03-24,0.8140,0.8140,0.25%,开放申购,开放赎回,
2025-03-21,0.8120,0.8120,-0.37%,开放申购,开放赎回,
2025-03-20,0.8150,0.8150,0.37%,开放申购,开放赎回,
2025-03-19,0.8120,0.8120,0.25%,开放申购,开放赎回,
2025-03-18,0.8100,0.8100,0.50%,开放申购,开放赎回,
2025-03-17,0.8060,0.8060,0.62%,开放申购,开放赎回,
2025-03-14,0.8010,0.8010,0.12%,开放申购,开放赎回,
2025-03-13,0.8000,0.8000,0.50%,开放申购,开放赎回,
2025-03-12,0.7960,0.7960,0.63%,开放申购,开放赎回,
2025-03-11,0.7910,0.7910,0.76%,开放申购,开放赎回,
2025-03-10,0.7850,0.7850,-0.88%,开放申购,开放赎回,
2025-03-07,0.7920,0.7920,0.76%,开放申购,开放赎回,
2025-03-06,0.7860,0.7860,-0.13%,开放申购,开放赎回,
2025-03-05,0.7870,0.7870,-0.76%,开放申购,开放赎回,
2025-03-04,0.7930,0.7930,-0.38%,开放申购,开放赎回,
2025-03-03,0.7960,0.7960,0.38%,开放申购,开放赎回,
2025-02-28,0.7930,0.7930,-0.50%,开放申购,开放赎回,
2025-02-27,0.7970,0.7970,-0.38%,开放申购,开放赎回,
2025-02-26,0.8000,0.8000,0.00%,开放申购,开放赎回,
2025-02-25,0.8000,0.8000,-1.48%,开放申购,开放赎回,
2025-02-24,0.8120,0.8120,0.12%,开放申购,开放赎回,
2025-02-21,0.8110,0.8110,-0.98%,开放申购,开放赎回,
2025-02-20,0.8190,0.8190,0.24%,开放申购,开放赎回,
2025-02-19,0.8170,0.8170,0.37%,开放申购,开放赎回,
2025-02-18,0.8140,0.8140,,开放申购,开放赎回,
2025-02-14,0.8050,0.8050,-0.86%,开放申购,开放赎回,
2025-02-13,0.8120,0.8120,0.25%,开放申购,开放赎回,
2025-02-12,0.8100,0.8100,-0.37%,开放申购,开放赎回,
2025-02-11,0.8130,0.8130,0.25%,开放申购,开放赎回,
2025-02-10,0.8110,0.8110,1.25%,开放申购,开放赎回,
2025-02-07,0.8010,0.8010,0.12%,开放申购,开放赎回,
2025-02-06,0.8000,0.8000,-0.12%,开放申购,开放赎回,
2025-02-05,0.8010,0.8010,1.14%,开放申购,开放赎回,
2025-01-27,0.7920,0.7920,-1.00%,开放申购,开放赎回,
2025-01-24,0.8000,0.8000,0.13%,开放申购,开放赎回,
2025-01-23,0.7990,0.7990,-0.25%,开放申购,开放赎回,
2025-01-22,0.8010,0.8010,0.12%,开放申购,开放赎回,
2025-01-21,0.8000,0.8000,,开放申购,开放赎回,
2025-01-17,0.8000,0.8000,-0.12%,开放申购,开放赎回,
2025-01-16,0.8010,0.8010,-0.25%,开放申购,开放赎回,
2025-01-15,0.8030,0.8030,1.01%,开放申购,开放赎回,
2025-01-14,0.7950,0.7950,-0.13%,开放申购,开放赎回,
2025-01-13,0.7960,0.7960,0.38%,开放申购,开放赎回,
2025-01-10,0.7930,0.7930,,开放申购,开放赎回,
2025-01-08,0.7800,0.7800,-0.13%,开放申购,开放赎回,
2025-01-07,0.7810,0.7810,0.51%,开放申购,开放赎回,
2025-01-06,0.7770,0.7770,0.00%,开放申购,开放赎回,
2025-01-03,0.7770,0.7770,-0.38%,开放申购,开放赎回,
2025-01-02,0.7800,0.7800,1.56%,开放申购,开放赎回,
2024-12-31,0.7680,0.7680,0.52%,开放申购,开放赎回,
2024-12-30,0.7640,0.7640,0.13%,开放申购,开放赎回,
2024-12-27,0.7630,0.7630,,开放申购,开放赎回,
2024-12-24,0.7600,0.7600,0.53%,开放申购,开放赎回,
2024-12-23,0.7560,0.7560,-0.53%,开放申购,开放赎回,
2024-12-20,0.7600,0.7600,0.53%,开放申购,开放赎回,
2024-12-19,0.7560,0.7560,-0.53%,开放申购,开放赎回,
2024-12-18,0.7600,0.7600,-0.52%,开放申购,开放赎回,
2024-12-17,0.7640,0.7640,-0.65%,开放申购,开放赎回,
2024-12-16,0.7690,0.7690,-0.13%,开放申购,开放赎回,
2024-12-13,0.7700,0.7700,0.13%,开放申购,开放赎回,
2024-12-12,0.7690,0.7690,-0.90%,开放申购,开放赎回,
2024-12-11,0.7760,0.7760,0.78%,开放申购,开放赎回,
2024-12-10,0.7700,0.7700,0.92%,开放申购,开放赎回,
2024-12-09,0.7630,0.7630,0.93%,开放申购,开放赎回,
2024-12-06,0.7560,0.7560,-0.40%,开放申购,开放赎回,
2024-12-05,0.7590,0.7590,-0.91%,开放申购,开放赎回,
2024-12-04,0.7660,0.7660,-0.26%,开放申购,开放赎回,
2024-12-03,0.7680,0.7680,1.19%,开放申购,开放赎回,
2024-12-02,0.7590,0.7590,-0.91%,开放申购,开放赎回,
2024-11-29,0.7660,0.7660,,开放申购,开放赎回,
2024-11-27,0.7620,0.7620,-0.13%,开放申购,开放赎回,
2024-11-26,0.7630,0.7630,0.13%,开放申购,开放赎回,
2024-11-25,0.7620,0.7620,-2.31%,开放申购,开放赎回,
2024-11-22,0.7800,0.7800,1.04%,开放申购,开放赎回,
2024-11-21,0.7720,0.7720,0.65%,开放申购,开放赎回,
2024-11-20,0.7670,0.7670,0.39%,开放申购,开放赎回,
2024-11-19,0.7640,0.7640,0.53%,开放申购,开放赎回,
2024-11-18,0.7600,0.7600,1.47%,开放申购,开放赎回,
2024-11-15,0.7490,0.7490,-0.27%,开放申购,开放赎回,
2024-11-14,0.7510,0.7510,0.00%,开放申购,开放赎回,
2024-11-13,0.7510,0.7510,-0.53%,开放申购,开放赎回,
2024-11-12,0.7550,0.7550,-0.26%,开放申购,开放赎回,
2024-11-11,0.7570,0.7570,-1.56%,开放申购,开放赎回,
2024-11-08,0.7690,0.7690,-1.41%,开放申购,开放赎回,
2024-11-07,0.7800,0.7800,1.69%,开放申购,开放赎回,
2024-11-06,0.7670,0.7670,-1.79%,开放申购,开放赎回,
2024-11-05,0.7810,0.7810,0.51%,开放申购,开放赎回,
2024-11-04,0.7770,0.7770,0.91%,开放申购,开放赎回,
2024-11-01,0.7700,0.7700,-0.26%,开放申购,开放赎回,
2024-10-31,0.7720,0.7720,-0.52%,开放申购,开放赎回,
2024-10-30,0.7760,0.7760,1.17%,开放申购,开放赎回,
2024-10-29,0.7670,0.7670,0.13%,开放申购,开放赎回,
2024-10-28,0.7660,0.7660,-1.79%,开放申购,开放赎回,
2024-10-25,0.7800,0.7800,0.52%,开放申购,开放赎回,
2024-10-24,0.7760,0.7760,0.13%,开放申购,开放赎回,
2024-10-23,0.7750,0.7750,-0.90%,开放申购,开放赎回,
2024-10-22,0.7820,0.7820,1.82%,开放申购,开放赎回,
2024-10-21,0.7680,0.7680,0.13%,开放申购,开放赎回,
2024-10-18,0.7670,0.7670,0.00%,开放申购,开放赎回,
2024-10-17,0.7670,0.7670,0.39%,开放申购,开放赎回,
2024-10-16,0.7640,0.7640,0.66%,开放申购,开放赎回,
2024-10-15,0.7590,0.7590,-1.30%,开放申购,开放赎回,
2024-10-14,0.7690,0.7690,,开放申购,开放赎回,
2024-10-10,0.7700,0.7700,1.32%,开放申购,开放赎回,
