end_day,alpha,beta,gamma,season,rss
-400,0.10326029778652628,0.005210231177984738,0.03306345350582404,21,0.38495895868430013
-380,0.10108498886338163,0.005600171292801108,0.02775678028060253,21,0.38752159507171213
-360,0.10032105103690156,0.006232323394994504,0.027923808430422616,21,0.396109633859398
-340,0.11354328592427601,0.008462441981365787,0.05023067868459205,21,0.5510233298249025
-320,0.10182400756570047,0.00764723441724127,0.06106608661857507,24,0.605650701784619
-300,0.0965828225206314,0.007808933624750386,0.04148196336621487,24,0.6243545300602413
-280,0.09647024749818184,0.007599759638625085,0.04324534466545251,20,0.6722770762022321
-260,0.09552640771166553,0.008133642320010084,0.03897613179365019,24,0.6929822464263332
-240,0.09791755481538338,0.008220506658697417,0.04629273311074201,24,0.6986106104836542
-220,0.09744198419586796,0.008123797082389413,0.043938436700196246,24,0.7040483006741072
-200,0.097759823323576,0.008122426270139474,0.042596908401831966,24,0.708494554251918
-180,0.10048673175386959,0.006781587585250131,0.05961725212659128,24,0.830299479382246
-160,0.1182569720092874,0.005836817843337464,0.059935548509680046,24,0.8855410575639611
-140,0.12845856438506467,0.005733750528240803,0.05859217540612465,24,0.9217513247195536
-120,0.11119490771087216,0.006040679178228115,0.1008794490475685,20,1.0015539118647157
-100,0.115378139047233,0.0055357202979868965,0.05065616509367555,24,1.0163539175905805
-80,0.10878202125709388,0.006116871925973322,0.0833463020858108,20,1.029679009585841
-60,0.10507239153397543,0.006078537104113946,0.09492875256933951,20,1.0573357323812815
-40,0.10518337470239167,0.0061879130383266714,0.08440169434166438,20,1.0873395541699762
-20,0.10562856244701785,0.006229371126301046,0.08258448651489793,20,1.0931949988536946
-1,0.10527802891330858,0.006169822719577023,0.07963806828185967,20,1.098251085302213
